tick;positiveVolume [MW];negativeVolume [MW]
1598;4155;4332
1599;4155;4332
1600;4155;4332
1601;4155;4332
1602;4155;4332
1603;4155;4332
1604;4155;4332
1605;4155;4332
1606;4155;4332
1607;4155;4332
1608;4155;4332
1609;4155;4332
1610;4155;4332
1611;4155;4332
1612;4155;4332
1613;4155;4332
1614;4155;4332
1615;4155;4332
1616;4155;4332
1617;4155;4332
1618;4155;4332
1619;4155;4332
1620;4155;4332
1621;4155;4332
1622;4155;4332
1623;4155;4332
1624;4155;4332
1625;4155;4332
1626;4155;4332
1627;4155;4332
1628;4155;4332
1629;4155;4332
1630;4155;4332
1631;4155;4332
1632;4155;4332
1633;4155;4332
1634;4155;4332
1635;4155;4332
1636;4155;4332
1637;4155;4332
1638;4155;4332
1639;4155;4332
1640;4155;4332
1641;4155;4332
1642;4155;4332
1643;4155;4332
1644;4155;4332
1645;4155;4332
1646;4155;4332
